2013-06-21 17:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 17:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 17:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 17:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 17:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 17:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 17:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 17:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 17:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 17:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 17:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 17:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 18:02:50 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 18:02:50 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 18:02:50 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 18:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 18:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 18:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 18:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 18:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 18:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 18:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 18:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 18:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 19:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 19:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 19:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 19:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-21 19:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-21 19:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-21 19:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
